#Frame          phi:2        psi:2
     883     -80.1338     153.9090
     884     -65.5574     127.8897
     885     -44.0681     146.2078
     886    -101.4037       0.3871
     887     -66.9841     150.1432
     888     -90.0441      65.8931
     889    -169.6196     140.3801
     890     -72.7472     115.9510
     891     -62.7713      -8.1150
     892     -70.4775     159.1876
     893     -77.9109      98.1419
     894     -65.8978     137.0650
     895     -63.0337     -35.3423
     896     -53.8254     -36.6785
     897    -144.0501      13.2378
     898    -152.7780     173.4299
     899     -74.0742     -33.8180
     900     -55.1830     172.0388
     901     -73.5214     173.0020
     902     -62.3352     -19.4916
     903    -179.5594     127.0570
     904     -34.7289     138.9334
     905     -65.7450     145.0632
     906     175.8962     161.1729
     907     -78.0173     -14.2855
     908     -75.6779     136.5638
     909     -65.2568     -30.1809
     910     -64.1436     -46.3716
     911     -75.8219     151.2960
     912    -160.0068     119.4277
     913     -57.9564     -34.4056
     914     -68.5974     -15.3321
     915     -81.7580     -11.1265
     916     -74.1699     140.5451
     917     -84.3255     124.7097
     918     -46.2855     124.7937
     919     -73.8277     -30.3365
     920     -99.9569      11.7653
     921     -81.4051       1.9293
     922     -54.3838     -42.8614
     923     -80.4940     116.9916
     924     -57.8189     -31.5618
     925     -86.5668       1.8649
     926     -87.3958     -10.5799
     927     -93.0528      16.6841
     928     -82.4738      82.3648
     929    -114.0177    -176.9487
     930     -81.8963      62.6448
     931    -158.0549     172.4838
     932    -157.3898     138.5232
     933     -58.0028     -24.2611
     934    -146.9807      96.6428
     935    -136.4986     140.3310
     936    -174.0424     142.2870
     937     -91.3816     -10.0506
     938     -84.5361    -155.9832
     939    -162.8457     119.8794
     940    -146.9194     152.5868
     941     -90.9734     158.9007
     942     -50.8189     143.5812
     943    -160.8648     142.6026
     944     -89.3529      68.7086
     945     -53.4163     134.3333
     946     -92.8321    -164.5762
     947     -64.5074      -7.5084
     948     -92.8686      92.2038
     949     -69.9971     -25.3323
     950     -67.2892     139.4316
     951     -57.9298     120.6165
     952     -83.1943     130.5632
     953     -75.2957      43.9847
     954     -69.2057     128.3766
     955    -166.7651     151.8403
     956     -71.7502       6.0614
     957    -172.0348     167.3378
     958     -66.0103     155.6342
     959    -107.8048      12.7149
     960     -70.1727     -37.6691
     961    -133.3676      38.2001
     962     -52.4585     -26.4691
     963     -67.5656     142.4865
     964    -158.6406     144.8562
     965    -175.6449      33.4633
     966    -162.5868     172.9103
     967     -90.2248      57.7899
     968     -61.3823     135.4490
     969     -99.2604     -19.5329
     970     -61.9172     -22.2690
     971     -71.8435     -21.3631
     972     -50.7367     136.6018
     973     -64.5016     129.1533
     974    -123.5681     142.5439
     975     -41.2132     118.2812
     976     -63.9941     -26.1375
     977    -151.9590     170.8736
     978     -92.6822      68.0181
     979     -52.6501     -54.7187
     980     -66.6652      95.1797
     981     -73.0569     -18.3932
     982     -59.2000     142.4204
